,0
235,130.09051677852176
236,129.5498956177392
237,129.01197110845203
238,128.47681054356426
239,127.9444786390128
240,127.41503756020066
241,126.88854694965639
242,126.36506395584952
243,125.84464326308989
244,125.32733712244328
245,124.813195383596
246,124.3022655276034
247,123.79459270045975
248,123.29021974742807
249,122.7891872480697
250,122.29153355191661
251,121.79729481473069
252,121.30650503529404
253,120.81919609268058
254,120.33539778395496
255,119.85513786225196
256,119.37844207518816
257,118.90533420355824
258,118.4358361002754
259,117.96996772950861
260,117.50774720597946
261,117.04919083437555
262,116.59431314884594
263,116.1431269525373
264,115.69564335714156
265,115.25187182241368
266,114.81182019563562
267,114.37549475098767
268,113.94290022880303
269,113.51403987467413
270,113.08891547838519
271,112.66752741264429
272,112.24987467159087
273,111.83595490905522
274,111.42576447654723
275,111.01929846095427
276,110.61655072192775
277,110.21751392893891
278,109.82217959798751
279,109.43053812794523
280,109.04257883651889
281,108.65828999581885
282,108.2776588675175
283,107.90067173758693
284,107.52731395060223
285,107.15756994359973
286,106.79142327948038
287,106.42885667994776
288,106.06985205797329
289,105.71439054978002
290,105.36245254633717
291,105.01401772436043
292,104.6690650768112
293,104.32757294288926
294,103.98951903751575
295,103.65488048030079
296,103.32363382399403
297,102.99575508241414
298,102.6712197578556
299,102.35000286797096
300,102.03207897212707
301,101.71742219723505
302,101.40600626305317
303,101.09780450696265
304,100.79278990821769
305,100.49093511167004
306,100.19221245096884
307,99.89659397123874
308,99.60405145123738
309,99.31455642499404
310,99.02808020293345
311,98.74459389248662
312,98.46406841819126
313,98.18647454128767
314,97.9117828788099
315,97.63996392218039
316,97.370988055308
317,97.10482557219704
318,96.84144669407014
319,96.58082158600928
320,96.3229203731211
321,96.06771315623062
322,95.81517002710808
323,95.56526108323561
324,95.31795644211735
325,95.07322625513996
326,94.83104072098787
327,94.5913700986203
328,94.35418471981436
329,94.11945500128178
330,93.88715145636311
331,93.65724470630772
332,93.42970549114389
333,93.20450468014576
334,92.98161328190359
335,92.76100245400313
336,92.54264351232034
337,92.32650793993824
338,92.11256739569161
339,91.90079372234624
340,91.69115895441917
341,91.48363532564571
342,91.27819527610055
343,91.07481145897844
344,90.87345674704167
345,90.67410423873969
346,90.47672726400863
347,90.28129938975586
348,90.0877944250366
349,89.8961864259289
350,89.70644970011317
351,89.51855881116246
352,89.33248858255057
353,89.14821410138305
354,88.96571072185787
355,88.78495406846318
356,88.60592003891608
357,88.42858480685001
358,88.25292482425719
359,88.07891682369069
360,87.9065378202339
361,87.73576511324235
362,87.56657628786346
363,87.39894921634212
364,87.23286205911504
365,87.06829326570217
366,86.90522157540046
367,86.74362601778371
368,86.58348591301751
369,86.42478087199183
370,86.26749079627875
371,86.11159587791981
372,85.957076599049
373,85.80391373135653
374,85.65208833539833
375,85.50158175975761
376,85.35237564006223
377,85.20445189786444
378,85.05779273938685
379,84.9123806541402
380,84.76819841341845
381,84.62522906867429
382,84.48345594978215
383,84.34286266319138
384,84.20343308997576
385,84.06515138378234
386,83.92800196868671
387,83.7919695369558
388,83.6570390467252
